length_five,five1,five2,five3,five4,five5,,,,,,,,,,length_two,two1,two2
perceiving,10255,10299,10249,10279,10267,,,,,,,,,,about,10241,10243
,,,,,,,,,,,,,,,according,10241,10249
,,,,,,,,,,,,,,,after,10241,10251
,,,,,,,,,,,,,,,again,10241,10267
,,,,,,,,,,,,,,,also,10241,10247
,,,,,,,,,,,,,,,because,10246,10249
,,,,,,,,,,,,,,,before,10246,10251
,,,,,,,,,,,,,,,behind,10246,10259
,,,,,,,,,,,,,,,below,10246,10247
,,,,,,,,,,,,,,,beneath,10246,10269
,,,,,,,,,,,,,,,beside,10246,10254
,,,,,,,,,,,,,,,between,10246,10270
,,,,,,,,,,,,,,,beyond,10246,10301
,,,,,,,,,,,,,,,blind,10243,10247
,,,,,,,,,,,,,,,children,10273,10269
,,,,,,,,,,,,,,,could,10249,10265
,,,,,,,,,,,,,,,either,10257,10250
,,,,,,,,,,,,,,,first,10251,10252
,,,,,,,,,,,,,,,friend,10251,10263
,,,,,,,,,,,,,,,good,10267,10265
,,,,,,,,,,,,,,,him,10259,10253
,,,,,,,,,,,,,,,letter,10247,10263
,,,,,,,,,,,,,,,little,10247,10247
,,,,,,,,,,,,,,,much,10253,10273
,,,,,,,,,,,,,,,must,10253,10252
,,,,,,,,,,,,,,,paid,10255,10265
,,,,,,,,,,,,,,,quick,10271,10245
,,,,,,,,,,,,,,,said,10254,10265
,,,,,,,,,,,,,,,should,10281,10265
,,,,,,,,,,,,,,,such,10254,10273
,,,,,,,,,,,,,,,today,10270,10265
,,,,,,,,,,,,,,,tomorrow,10270,10253
,,,,,,,,,,,,,,,tonight,10270,10269
,,,,,,,,,,,,,,,would,10298,10265
,,,,,,,,,,,,,,,itself,10285,10251
,,,,,,,,,,,,,,,its,10285,10254
,,,,,,,,,,,,,,,your,10301,10263