letter,unicode,single_words ,connect_words 
a,10241,a,
b,10243,but,
c,10249,can,
d,10265,do,
e,10257,every,
f,10251,from,
g,10267,go,
h,10259,have,
i,10250,I,
j,10266,just,
k,10245,knowledge,
l,10247,like ,
m,10253,more ,
n,10269,not,
o,10261,O,
p,10255,people,
q,10271,quite,
r,10263,rather,
s,10254,so ,
t,10270,that,
u,10277,us,
v,10279,very,
w,10298,will,
x,10285,it,
y,10301,you,
z,10293,as,
and,10287,,
for,10303,,
of,10295,,
the,10286,,
with,10302,,
,10273,child,ch
,10275,,gh
,10281,shall,sh
,10297,this,th
,10289,which,wh
ed,10283,,
er,10299,,
,10291,out,ou
ow,10282,,
ea,10242,,
,10246,be,bb
,10258,,cc
,10290,,dd
,10274,enough,en
,10262,to,ff
,10294,were,gg
his,10278,,
in,10260,,
was,10292,,
by,10292,,
com,10276,,
ing,10284,,
,10252,still,st
,,,ar
",",10242,,
;,10246,,
:,10258,,
$,10290,,
.,10290,,
!,10262,,
(,10294,,
),10294,,
?,10278,,
“,10278,,
*,10260,,
”,10292,,
"#",10300,,
letters,10288,,
capital,10272,,
decimal,10280,,
 ,10240,,
',10244,,
-,10276,,
/,10252,,
1,10241,,
2,10243,,
3,10249,,
4,10265,,
5,10257,,
6,10251,,
7,10267,,
8,10259,,
9,10250,,
0,10266,,