whole_word,whole_prefix,whole_suffix
character,10256,10273
day,10256,10265
ever,10256,10257
mother,10256,10253
father,10256,10251
here,10256,10259
know,10256,10245
lord,10256,10247
name,10256,10269
one,10256,10261
ought,10256,10291
part,10256,10255
question,10256,10271
right,10256,10263
some,10256,10254
there,10256,10286
through,10256,10297
time,10256,10270
under,10256,10277
where,10256,10289
work,10256,10298
young,10256,10301
these,10264,10286
those,10264,10297
upon,10264,10277
whose,10264,10289
word,10264,10298
cannot,10296,10249
had,10296,10259
many,10296,10253
spirit,10296,10254
their,10296,10286
world,10296,10298